Fragmento,Comunidad,Lugar,Locacion,Year,FECHA,UTM1,UTM2,ELEV,# TRANSECTO,Total >10 DAP,Total >50 DAP,# Cecropias,# Melastomataceae,DEN 1 N,DEN 2 S,DEN 3 E,DEN 4 W,Dosel_metros,TIPO DE BOSQUE,NOTAS,Fragment description,Nota Luis
,La Yesita,BBS,Rio Ducha,2008,11-Nov-08,643222,38043,540,1A,0,1,0,0,5,8,16,12,12,Secondary,,,
Fragment,La Yesita,BBS,Rio Ducha,2008,11-Nov-08,643257,38043,540,1B,3,0,0,0,6,4,9,19,14,Secondary,,,
Fragment,La Yesita,BBS,Rio Ducha,2008,11-Nov-08,643143,38058,540,1C,3,1,0,0,8,12,13,19,25,Secondary,,,
Fragment,La Yesita,Finca José Vera,86,2009,6-Oct-09,644915,36562,476,1A,8,2,1,0,3,8,3,6,28,Altered,Not sure of exact date,Jose Vera,
Fragment,La Yesita,Finca José Vera,86,2009,6-Oct-09,644706,36536,479,1B,15,1,3,0,4,5,2,9,30,Primary,Not sure of exact date,Jose Vera,
Fragment,La Yesita,Finca José Vera,86,2009,6-Oct-09,644752,36499,471,1C,14,2,1,0,6,2,2,3,35,Primary,Not sure of exact date,Jose Vera,
Fragment,Taguales ,Finca Gilberto Bravo,1,2010,5-Aug-10,644029,44705,415,1A ,25,3,6,14,18,15,25,7,22,Primary,,Fragmento 1 (taguales),
Fragment,Taguales ,Finca Gilberto Bravo,1,2010,5-Aug-10,643996,44678,410,1B,17,2,11,6,11,13,18,10,25,Primary,,Fragmento 1 (taguales),
Fragment,Taguales ,Finca Gilberto Bravo,1,2010,5-Aug-10,643943,44678,408,1C,13,2,9,4,13,20,4,7,20,Primary,,Fragmento 1 (taguales),
Fragment,Taguales ,Finca Gaudencio Bravo,2,2010,8-Aug-10,642603,43892,384,1A,21,1,1,11,13,7,6,8,27,Primary,,Fragmento 2 (taguales),
Fragment,Taguales ,Finca Gaudencio Bravo,2,2010,8-Aug-10,642554,43916,370,1B,18,3,0,18,4,7,14,4,20,Primary,,Fragmento 2 (taguales),
Fragment,Taguales ,Finca Gaudencio Bravo,2,2010,8-Aug-10,642507,43929,352,1C,24,1,0,24,5,4,2,3,25,Primary,,Fragmento 2 (taguales),
Fragment,EL Descanso,Finca Don Abraham,3,2010,15-Sep-10,649185,39728,440,1A,19,3,2,3,12,14,6,5,30,Primary,,Fragmento 3 (El Descanso),
Fragment,EL Descanso,Finca Don Abraham,3,2010,15-Sep-10,649156,39697,462,1B,19,2,1,0,9,3,8,5,35,Primary,,Fragmento 3 (El Descanso),
Fragment,EL Descanso,Finca Don Abraham,3,2010,15-Sep-10,649172,39654,467,1C,22,3,3,0,5,2,5,6,27,Primary,,Fragmento 3 (El Descanso),
Fragment,La Ye,Finca Winter Zambrano,4,2010,21-Sep-10,650404,42547,449,1A ,21,0,3,2,10,6,15,16,20,Secondary,,Fragmento 4 (La Y Winter Zambrano),
Fragment,La Ye,Finca Winter Zambrano,4,2010,21-Sep-10,650428,42515,435,1B,19,1,4,5,7,17,10,3,23,Secondary,,Fragmento 4 (La Y Winter Zambrano),
Fragment,La Ye,Finca Winter Zambrano,4,2010,21-Sep-10,650429,42479,422,1C,8,0,2,5,11,3,4,6,23,Secondary,,Fragmento 4 (La Y Winter Zambrano),
Fragment,La Ye,Finca José Zambrano,5,2010,17-Nov-10,646599,45530,278,1A,22,0,2,6,15,21,6,9,20,Secondary,,Fragmento 5 (Jose Zambrano Taguales),No es Taguales es la Ye
Fragment,La Ye,Finca José Zambrano,5,2010,17-Nov-10,646662,45525,302,1B,12,3,0,3,10,8,8,6,22,Secondary,,Fragmento 5 (Jose Zambrano Taguales),No es Taguales es la Ye
Fragment,La Ye,Finca José Zambrano,5,2010,17-Nov-10,646636,45467,265,1C,17,3,0,6,3,15,7,4,25,Secondary,,Fragmento 5 (Jose Zambrano Taguales),No es Taguales es la Ye
Fragment,Platano,Finca Felipe Loor,6,2010,20-Nov-10,648826,45517,339,1A,11,0,9,0,19,16,13,2,16,Secondary,,Fragmento 6 (Finca Felipe Loor Platano),
Fragment,Platano,Finca Felipe Loor,6,2010,20-Nov-10,648771,45507,340,1B,13,0,7,0,7,6,6,21,15,Secondary,,Fragmento 6 (Finca Felipe Loor Platano),
Fragment,Platano,Finca Felipe Loor,6,2010,20-Nov-10,648726,45477,338,1C,10,0,6,0,16,17,11,45,13,Secondary,,Fragmento 6 (Finca Felipe Loor Platano),
Fragment,Colorado,Finca Raúl Parrales (Túneles),7,2010,16-Dec-10,650240,47145,278,1A,19,0,0,0,10,12,7,12,17,Secondary,MUCHO BAMBU,Fragmento 7 (Túneles de Colorado),
Fragment,Colorado,Finca Raúl Parrales (Túneles),7,2010,16-Dec-10,650288,47190,300,1B,21,1,0,0,50,21,33,10,16,Secondary,MUCHO BAMBU,Fragmento 7 (Túneles de Colorado),
Fragment,Colorado,Finca Raúl Parrales (Túneles),7,2010,16-Dec-10,650367,47215,280,1C,14,0,7,0,29,13,15,47,15,Secondary,MUCHO BAMBU,Fragmento 7 (Túneles de Colorado),
Fragment,La Ye,Finca José Zambrano,8,2011,11-Feb-11,651902,41148,230,1A,19,3,1,7,7,2,6,6,30,Primary,,fragmento 8 (Finca José Zambrano La Y),
Fragment,La Ye,Finca José Zambrano,8,2011,11-Feb-11,651852,41185,240,1B,14,4,1,0,4,6,4,20,35,Primary,,fragmento 8 (Finca José Zambrano La Y),
Fragment,La Ye,Finca José Zambrano,8,2011,11-Feb-11,651804,41206,259,1C,29,2,0,4,10,4,4,4,35,Primary,,fragmento 8 (Finca José Zambrano La Y),
Fragment,La Ye,Finca José Zambrano,9,2011,14-Feb-11,651535,41017,252,1A,21,0,4,0,9,7,11,9,30,Secondary,,Fragmento 9 (La Y),
Fragment,La Ye,Finca José Zambrano,9,2011,14-Feb-11,651568,41030,258,1B,14,0,3,5,12,6,14,7,20,Secondary,,Fragmento 9 (La Y),
Fragment,La Ye,Finca José Zambrano,9,2011,14-Feb-11,651623,41020,280,1C,11,0,5,3,8,3,4,20,25,Secondary,,Fragmento 9 (La Y),
Fragment,La Ye,Finca Winter Zambrano,10,2011,17-Feb-11,652065,43086,442,1A,26,1,1,2,15,17,17,7,25,Primary,,Fragmento 10 (Finca Winter Zambrano),
Fragment,La Ye,Finca Winter Zambrano,10,2011,17-Feb-11,652050,43118,435,1B,31,1,0,0,5,8,7,8,35,Primary,,Fragmento 10 (Finca Winter Zambrano),
Fragment,La Ye,Finca Winter Zambrano,10,2011,17-Feb-11,652079,43138,429,1C,21,2,1,2,4,16,10,9,35,Primary,,Fragmento 10 (Finca Winter Zambrano),
Fragment,La Ye,Finca Díaz,11,2012,15-Jan-12,650813,41157,452,1A,21,4,2,3,16,11,18,8,18,Altered,,La Y (Diaz),
Fragment,La Ye,Finca Díaz,11,2012,15-Jan-12,650799,41079,465,1B,20,1,0,6,8,9,7,14,25,Altered,,La Y (Diaz),
Fragment,La Ye,Finca Díaz,11,2012,15-Jan-12,650761,41020,479,1C,8,1,2,12,10,8,6,4,27,Altered,,La Y (Diaz),
Fragment,Santa Isabel,Finca Gavilanez,12,2012,19-Jan-12,646809,38805,549,1A,21,0,3,10,8,18,8,8,40,Primary,,El Descanso ,
Fragment,Santa Isabel,Finca Gavilanez,12,2012,19-Jan-12,646850,38845,545,1B,17,1,7,1,8,6,7,10,40,Primary,,El Descanso ,
